property_ID,web_URL,address,room1,room2,room3,area,kind,price,bond,date,company,Lat,Lng,area_meter_square,price_cleaned,Alarm system,Courtyard,Balcony,Toilets,Secure parking,Split-system heating,Floorboards,Outdoor entertaining area,Ducted heating,Fully fenced,Rumpus room,Smoking permitted,Show fewer,Reverse-cycle air con,Intercom,non_property_feature,Remote garage,Outdoor spa,Water tank,Land size,Swimming pool - in-ground,Split-system air con,Air conditioning,Ducted cooling,Pay TV access,Ensuites,Solar panels,Gas heating,Living areas,Dishwasher,Gym,Carport spaces,Built-in wardrobes,Energy efficiency rating,Swimming pool - above ground,Workshop,Building size,Open car spaces,Open fireplace,Garage spaces,Furnished,Broadband,Pets allowed,Study,Deck
0,https://www.realestate.com.au/property-apartment-qld-brisbane+city-431252442,"3036/3 Parkland Boulevard, Brisbane City, Qld 4000",3.0,2.0,1.0,129.0,Apartment,$650 per week,2600,,Parklands Apartments,-27.46424082,153.01829887,129.0,650,,,yes, 2,yes,,,yes,,,,,yes,,,,yes,,,,yes,yes,yes,,yes, 1,,,,yes,yes,,yes,,,, 129m²,,, 1,,yes,,yes,
1,https://www.realestate.com.au/property-apartment-qld-spring+hill-431238850,"130/51  Hope St, Spring Hill, Qld 4000",2.0,1.0,1.0,,Apartment,$480 per week,,,Sungrass Property Group,-27.46149088,153.02520632,,480,,,yes, 1,yes,,,,,,,,yes,,,,yes,,,,yes,,yes,,yes,,,,,yes,yes,,yes,,,,,,, 1,yes,yes,,,
2,https://www.realestate.com.au/property-apartment-qld-south+bank-430781662,"30/15 Tribune Street, South Bank, Qld 4101",2.0,2.0,1.0,,Apartment,$575/week,2300,,Property Services QLD - .,-27.48086647,153.0236519,,575,,,yes,,yes,,,,,,,,yes,,yes,,yes,,,,,,yes,,, 1,,,,yes,,,yes,,,,,,, 1,,,,,
3,https://www.realestate.com.au/property-apartment-qld-south+brisbane-428814338,"FURNISHED 2 bedroom/8 Cordelia St,, South Brisbane, Qld 4101",2.0,2.0,1.0,,Apartment,$480 per week,1920,,Sungrass Property Group,-27.47339965,153.0143551,,480,,yes,yes, 2,yes,yes,,yes,,,,,yes,,yes,,yes,yes,,,yes,yes,,,yes, 1,,, 1,yes,,,yes,,,,,,, 1,yes,yes,,yes,
4,https://www.realestate.com.au/property-apartment-qld-south+brisbane-431250562,"1B/25  Bouquet Street, South Brisbane, Qld 4101",1.0,1.0,1.0,137.0,Apartment,$415 per week,1660,,Canwealth Group - AUSTRALIA,-27.47132995,153.01304639,137.0,415,,,yes, 1,,,,,,,,,yes,,yes,,,,,,yes,,yes,yes,,,,,,yes,,,yes,,,,,,, 1,,yes,,,
5,https://www.realestate.com.au/property-apartment-qld-brisbane+city-428692370,"2602/151 George Street, Brisbane City, Qld 4000",2.0,2.0,1.0,,Apartment,$580 per week,2320,,Ray White Brisbane City - Brisbane,-27.47197717,153.02494389,,580,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,https://www.realestate.com.au/property-apartment-qld-south+brisbane-431248926,"2B/22-28 Merivale Street, South Brisbane, Qld 4101",2.0,2.0,1.0,137.0,Apartment,$530 per week,2120,,Canwealth Group - AUSTRALIA,-27.47453325,153.01568655,137.0,530,,,yes, 2,,,,yes,,,,,yes,,yes,,,yes,,,yes,yes,,yes,, 1,,,,yes,yes,,yes,,,,,,, 1,,yes,,,
7,https://www.realestate.com.au/property-apartment-qld-brisbane+city-424131618,"1203/151 GEORGE STREET, Brisbane City, Qld 4000",2.0,2.0,1.0,,Apartment,$540 per week,2160,,Ray White Brisbane City - Brisbane,-27.471978000000004,153.02494199999998,,540,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,https://www.realestate.com.au/property-unit-qld-new+farm-431247790,"61/135 Macquarie Street, New Farm, Qld 4005",2.0,2.0,1.0,117.0,Unit,$650 per week,2600,,Odyssey Property Concierge - New Farm,-27.45626011,153.0505378,117.0,650,,,yes, 2,yes,,,yes,,,,,yes,yes,yes,,,,,,yes,yes,,,, 1,,, 1,yes,,,yes,,,, 117m²,,, 1,,,yes,,yes
9,https://www.realestate.com.au/property-unit-qld-west+end-429048230,"1/69 Orleigh Street, West End, Qld 4101",2.0,1.0,1.0,,Unit,$450 per week,1800,,Harcourts Property Centre -,-27.48926204,152.99996079,,450,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,https://www.realestate.com.au/property-unit-qld-bowen+hills-431001658,"37 Mayne Road, Bowen Hills, Qld 4006",1.0,1.0,,85.0,Unit,2 WEEKS RENT FREE- From $350 per week,1420,,,-27.44667436,153.0362943,85.0,350,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,https://www.realestate.com.au/property-unit-qld-bowen+hills-430001754,"37 Mayne Road, Bowen Hills, Qld 4006",2.0,2.0,1.0,85.0,Unit,2 WEEKS RENT FREE- from $470 per week,1960,,,-27.44667436,153.0362943,85.0,470,,,yes,,yes,,,yes,yes,,,,yes,,yes,,,,,,yes,,yes,yes,,,,,,yes,yes,,yes,,,, 85m²,,, 1,,yes,yes,,
12,https://www.realestate.com.au/property-unit-qld-kangaroo+point-431355886,"2/18 Duke Street, Kangaroo Point, Qld 4169",1.0,1.0,1.0,,Unit,$475pwk - 1bed1bath Fully Furnished,1900,,JLL - Residential,-27.4843537,153.03757224,63.0,475,,yes,yes, 1,,,yes,yes,yes,yes,,,yes,,yes,,,,, 63m²,,,yes,yes,yes, 1,,,,yes,yes,,yes,,,,,,, 1,yes,yes,,yes,yes
13,https://www.realestate.com.au/property-unit-qld-kangaroo+point-431355878,"3/18  Duke Street, Kangaroo Point, Qld 4169",2.0,2.0,1.0,,Unit,$545pwk - 2Bed2Bath,2180,,JLL - Residential,-27.4843537,153.03757224,89.0,545,,,yes, 1,,,yes,yes,yes,,,,yes,,yes,,,,, 89m²,,,yes,yes,yes, 1,,,,yes,yes,,yes,,yes,,,,, 1,,yes,,yes,yes
14,https://www.realestate.com.au/property-apartment-qld-newstead-431355474,"20602/37 Kyabra, Newstead, Qld 4006",1.0,1.0,1.0,,Apartment,$400 Per week,1600,,Ray White Inner Brisbane Apartments - BRISBANE CITY,-27.45144812,153.04333938,,400,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,https://www.realestate.com.au/property-apartment-qld-brisbane+city-429512590,"17/460 Ann Street, Brisbane City, Qld 4000",1.0,1.0,,,Apartment,$335 Per Week,1340,,Ray White Inner Brisbane Apartments - BRISBANE CITY,-27.46244843,153.030622,,335,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,https://www.realestate.com.au/property-apartment-qld-brisbane+city-431118810,"809/550 Queen Street, Brisbane City, Qld 4000",2.0,2.0,1.0,,Apartment,$550 Per Week,2200,,Ray White Inner Brisbane Apartments - BRISBANE CITY,-27.46306775,153.0308632,,550,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
