property_ID,web_URL,address,room1,room2,room3,kind,price,date,company,Lat,Lng,area_meter_square
0,https://www.realestate.com.au/sold/property-apartment-qld-west+end-135208738,"708/77 Jane Street, West End, Qld 4101",1.0,1.0,1.0,Apartment,390000.0,Sold on 26 Feb 2021,AUMR Property Management - LUTWYCHE,-27.47817904,153.00758175,63.0
1,https://www.realestate.com.au/sold/property-apartment-qld-highgate+hill-133391754,"4/138 Dornoch Terrace, Highgate Hill, Qld 4101",3.0,2.0,3.0,Apartment,2760000.0,Sold on 25 Feb 2021,Ray White - New Farm,-27.48713592,153.01486999,
2,https://www.realestate.com.au/sold/property-apartment-qld-newstead-135176398,"503/70 Longland Street, Newstead, Qld 4006",2.0,2.0,1.0,Apartment,680000.0,Sold on 24 Feb 2021,AUMR Property Management - LUTWYCHE,-27.4509017,153.0433505,95.0
3,https://www.realestate.com.au/sold/property-apartment-qld-brisbane+city-135264494,"494/420 Queen Street, Brisbane City, Qld 4000",2.0,2.0,1.0,Apartment,628000.0,Sold on 24 Feb 2021,Ray White Inner Brisbane Apartments - BRISBANE CITY,-27.465193,153.03041416,
4,https://www.realestate.com.au/sold/property-unit-qld-highgate+hill-135431178,"40/104 Dornoch Terrace, Highgate Hill, Qld 4101",2.0,1.0,1.0,Unit,515000.0,Sold on 24 Feb 2021,Metrocity Realty - West End,-27.48691201,153.01243063,
5,https://www.realestate.com.au/sold/property-unit-qld-west+end-135239666,"2/12 O'Connell Street, West End, Qld 4101",2.0,1.0,1.0,Unit,442000.0,Sold on 24 Feb 2021,Metrocity Realty - West End,-27.48013552,153.01384024,133.0
6,https://www.realestate.com.au/sold/property-apartment-qld-west+end-134688862,"20511/60 Rogers Street, West End, Qld 4101",2.0,2.0,1.0,Apartment,527500.0,Sold on 22 Feb 2021,Position Property Services - .,-27.48462884,153.00055215,93.0
7,https://www.realestate.com.au/sold/property-apartment-qld-bowen+hills-134866974,"2903/35 Campbell Street, Bowen Hills, Qld 4006",2.0,2.0,1.0,Apartment,460000.0,Sold on 22 Feb 2021,Ray White Inner Brisbane Apartments - BRISBANE CITY,-27.44730681,153.03613081,
8,https://www.realestate.com.au/sold/property-apartment-qld-brisbane+city-135371630,"205/483 Adelaide Street, Brisbane City, Qld 4000",2.0,1.0,1.0,Apartment,378500.0,Sold on 22 Feb 2021,Ray White Inner Brisbane Apartments - BRISBANE CITY,-27.46261041,153.03230394,
9,https://www.realestate.com.au/sold/property-apartment-qld-west+end-134686374,"304/77 Jane Street, West End, Qld 4101",1.0,1.0,1.0,Apartment,370000.0,Sold on 22 Feb 2021,Position Property Services - .,-27.47817904,153.00758175,66.0
