Site,Point_ID,Lat,Lon,Max_Speed,Street_Name,Angle,Distance to Flood,Adjacent Bus Station,Direct Solar Exposure,Glare,wall,building,sky,tree,road,sidewalk,earth,plant,car,fence,signboard,streetlight,grass,railing,van,person,column,skyscraper,awning,minibike,mountain,ashcan,chair,ceiling,bridge,bicycle,fountain,sculpture,windowpane,booth,water,sofa,bulletin board,desk,lamp,pier,Unnamed: 31,Unnamed: 32
WestEnd,WestEnd-0,-27.475472,153.015487,60,Cordelia Street,148.619667,5,2,,,0.016805,0.116484,0.274789,0.151852,0.272887,0.01009,0.00232,0.03152,0.094043,0.026664,0.000254,0.000191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
WestEnd,WestEnd-1,-27.475282,153.015355,60,Cordelia Street,148.729683,22,2,,,0.02327,0.230547,0.168527,0.368547,0.311281,0.043125,0.0,0.014523,0.127145,0.000363,0.0,0.0,0.000906,0.008805,9e-05,3.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
WestEnd,WestEnd-2,-27.475093,153.015223,60,Cordelia Street,148.119269,42,2,,,0.02325,0.414723,0.187824,0.313348,0.304312,0.062598,0.0,0.00277,0.068941,0.034066,0.037441,0.001152,0.0,0.0,0.0,0.000312,0.0,0.0,0.0,0.0,0.0,0.000891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
WestEnd,WestEnd-3,-27.474894,153.015092,60,Cordelia Street,148.119269,66,1,,,0.016551,0.343238,0.209262,0.323395,0.26918,0.080055,0.0,0.017719,0.023637,0.003934,0.002004,2.7e-05,0.0,0.0,0.000602,0.000578,5.1e-05,0.0,0.0,0.0,0.0,0.009512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
WestEnd,WestEnd-4,-27.474704,153.01496,60,Cordelia Street,148.119269,89,0,,,8e-06,0.212199,0.230195,0.15666,0.257863,0.053387,0.0,0.0,0.039684,0.030785,0.004934,0.000715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
WestEnd,WestEnd-5,-27.473802,153.014343,60,Cordelia Street,146.685788,157,0,,,0.0,0.312207,0.292934,0.071766,0.379758,0.028324,0.0,0.025355,0.007406,0.010438,0.000781,9.8e-05,0.000496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
WestEnd,WestEnd-6,-27.481881,153.019891,60,Cordelia Street,147.806977,242,1,,,0.008023,0.178531,0.341277,0.272047,0.340422,0.020461,0.0,0.004234,0.064867,0.001426,0.000238,0.000656,0.023652,0.0,0.0,0.000195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
WestEnd,WestEnd-7,-27.481692,153.019749,60,Cordelia Street,147.806977,220,1,,,0.003492,0.629391,0.230562,0.078633,0.300215,0.192941,0.0,0.009227,0.10466,0.027453,0.00143,0.00023,0.00391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
WestEnd,WestEnd-8,-27.481502,153.019618,60,Cordelia Street,147.806977,198,1,,,0.002703,0.376953,0.187203,0.067969,0.438043,0.055246,0.0,0.002836,0.05123,0.0,0.0,0.000551,0.0,0.0,0.000629,0.0,0.0,0.0,0.0,0.0,0.0,6.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
WestEnd,WestEnd-9,-27.481312,153.019486,60,Cordelia Street,147.806977,178,2,,,0.018668,0.253793,0.151617,0.214086,0.303898,0.174465,0.006031,0.006832,0.150969,0.014078,0.001043,0.008402,0.081039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
WestEnd,WestEnd-10,-27.481123,153.019344,60,Cordelia Street,147.806977,159,1,,,0.00252,0.213848,0.194535,0.2995,0.411082,0.051719,0.012762,0.011625,0.034215,0.0,0.007629,8.6e-05,0.002504,0.0,0.0,0.002312,0.0,0.053574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
